,source,target,value
1,0,22,1
2,4,22,1
3,11,22,1
4,15,22,1
5,17,22,1
6,21,23,1
7,1,23,1
8,2,23,1
9,5,23,1
10,6,23,1
11,9,23,1
12,10,23,1
13,12,23,1
14,13,23,1
15,14,23,1
16,16,23,1
17,19,23,1
18,20,24,1
19,3,24,1
20,18,24,1
21,8,24,1
22,7,24,1
23,22,26,5
24,23,26,12
25,24,26,4
26,24,25,1
27,26,27,1
28,26,28,1
29,26,29,1
30,26,30,1
31,26,31,1
32,26,32,1
33,26,33,1
34,25,34,1
35,26,35,1
36,26,36,1
37,26,37,1
38,26,38,1
39,26,39,1
40,26,40,1
41,26,41,1
42,26,42,1
43,26,43,1
44,26,44,1
45,26,45,1
46,26,46,1
47,26,47,1
48,26,48,1
