,name,id
1,Abhijit Anil Kumar,0
2,Anantha Gopan,1
3,Ancy Mary,2
4,Aparna Narayanan,3
5,Aruna Sivaya,4
6,Chanderan Chan,5
7,Dinesh Kumar,6
8,Emmanual EsclEen,7
9,Gowri Sankar,8
10,Hari Vignesh,9
11,Karthik,10
12,Keshav Ram,11
13,Lakshmi,12
14,Lavanya,13
15,Nishchitha Gowda,14
16,Pooja Venkatraman,15
17,Prasanna Adhisesha,16
18,Priya Jerson,17
19,Priya Padmanabhan,18
20,Sashank,19
21,Sneha Padmanabhan,20
22,Yazhini,21
23,Imunity,22
24,Safe,23
25,Voting,24
24,Eliminated,25
25,Stage2,26
26,Abhijit Anil Kumar,27
27,Anantha Gopan,28
28,Ancy Mary,29
29,Aparna Narayanan,30
30,Aruna Sivaya,31
31,Chanderan Chan,32
32,Dinesh Kumar,33
33,Emmanual EsclEen,34
34,Gowri Sankar,35
35,Hari Vignesh,36
36,Karthik,37
37,Keshav Ram,38
38,Lakshmi,39
39,Lavanya,40
40,Nishchitha Gowda,41
41,Pooja Venkatraman,42
42,Prasanna Adhisesha,43
43,Priya Jerson,44
44,Priya Padmanabhan,45
45,Sashank,46
46,Sneha Padmanabhan,47
47,Yazhini,48
